"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
1205;Harun-ibn-Yahya;"Harun-ibn-Yahya: Un prisonnier arabe à Byzance au IXe siècle: Harunibn-Yahya, hrsg. v. M. Izeddin. In: Revue des études islamiques. 1941--1948, 41-62. 
";Vin;1;1;0;;18;23;;0
1206;Harun-ibn-Yahya;"Harun-ibn-Yahya: Harun-ibn-Yahya and his description of Constantinople. In: Seminarium Kondakovianum 5, 1932, 149-163. 
";Vin;1;1;0;;18;23;;0
1207;Harun-ibn-Yahya;"Harun-ibn-Yahya: Der Reisebericht des Harun b. Jahja, hrsg. von J.  Marquart. In: Osteuropäische und ostasiatische Streifzüge, Leipzig 1903, 206ff. 
";UB 47: 7178;1;1;0;;18;23;;0
1208;Harvey, A. J.;"Harvey, A. J.: Our cruise in the Claymore, with a visit to Damascus and the Lebanon. London 1861, xi+309p. , tinted frontispiece, 
engraved title. 
";Westdt. Bibl. 71155;2;1;0;;44;99;;0
1209;"Hase, Karl August= Anonymus(Hase, Karl August)
";"Hase, Karl August= Anonymus(Hase, Karl August)
";"";5;1;0;;255;0;;0
1210;Hasselquist, Fredrik;"Hasselquist, Fredrik: Reise nach Palestina. Aus dem Schwedischen.  Rostock 1762. 
";MS Priest. ;1;1;0;;255;0;;0
1211;Hasselquist, Frédéric;"Hasselquist, Frédéric: Voyage dans le Levant, dans les années 1749, 50 51&52, contenant des observations sur l'historie naturelle, la médicine, l'agriculture & commerce, & particulièrement sur l'histoire naturelle de la Terre Sainte. Par Frédéric Hasselquist... publiés par ordre du roi de Suède, par Charles Linnaeus... traduits de l' allemand par M***. 2 Bde. in I. Paris 1769, 260p. +201p. 
";UB Berlin;2;3;0;;31;99;;0
1212;Haurowitz, H. von;"Haurowitz, H. von: Erinnerungen an Corfu im Sommer 1869. Wien 1870,  147p. 
";SAG FR Ld 22;3;1;0;;31;38;;0
1213;Haussenstein, Wilhelm;"Haussenstein, Wilhelm: Das Land der Griechen. Fahrten in Hellas.  Frankfurt a. M. 1934. 
";DOK;1;1;0;;255;0;;0
1214;Hawkins, John;"Hawkins, John: On the Vale of Tempe, in: Walpole, Robert (Hg. ): Memoirs relating to European and Asiatic Turkey, edited from manuscript Journals, London 1817, xxii+606p. 
";UB Freiburg J 5872, ;2;1;0;;32;32;;0
1215;Hawkins, John;"Hawkins, John: On the Topography of Athens, in: Walpole, Robert (Hg. ) Memoirs relating to European and Asiatic Tukey, edited from manuscript Journals, London 1817, xxii+606p. 
";UB Freiburg J 5872, ;2;1;0;;55;58;;0
1216;Haygarth, William;"Haygarth, William: Collection of 120 original sketches of Greek landscape made in 1810-1811. 
";Sym.              ;1;1;7;;255;0;;0
1217;Haygarth, William;"Haygarth, William: Collection of original sketches, most costumes,  made in Greece 1810-1811. o. J. o. O. 
";Sym.              ;1;1;7;;255;0;;0
1218;Haygarth, William;"Haygarth, William: A book of original crayon sketches of scenes in Greeece and Albania, some in color. No place, no date(1810-1811),  118 leaves last 10 blank. 
";Gen: GT2051. 3(I, 11;1;1;1;;55;58;;0
1219;Haygarth, William;"Haygarth, William: La Grèce, poème, traduit de l'anglais par Pauline Flangergeus. Paris 1827, 159p. 
";Gen: GT 1453. 3(I, 3;1;1;0;;255;0;;0
1220;Haygarth, William;"Haygarth, William: Greece, a poem in three parts, with notes, classical illustrations, and sketches of the scenery. London 1814, vii+304p. ,  on large paper, with 8 aquatint engravings. 
";Gen: GT 1453. 2(I, 3;1;1;1;;255;0;;0
1221;Haygarth, William;"Haygarth, William: A scrapbook of original in sepia sketches of Greece scenery and costumes, mounted. No place, no date. 
";Gen: GT 2051(I, 1103;1;1;7;;255;0;;0
1222;Haynes, James;"Haynes, James: Travels in several parts of Turkey, Egypt and the Holy Land by James Haynes. London 1741. 
";Röhricht 1389;1;1;0;;255;0;;0
1223;Heberer von Bretten, Michael;"Heberer von Bretten, Michael: Aegyptiaca servitus: Das ist warhafte Beschreibung einer dreyjährigen Dienstbarkeit so zu Alexandrien in Egypten ihren Anfang und zu Constantinopel ihr Endschaft genommen.  .. durch... Michael Heberer von Bretten. Heidelberg 1801. ND mit einer Einl. v. Karl Teply. Graz 1967, xlii+xiii+522p. 
";SB Bremen;2;1;0;;18;99;;0
1224;Hecht, Helene;"Hecht, Helene: Unsere Reise nach Kleinasien und Griechenland im Frühjahr 1891. München 1891, 108p. , als Manuskript gedruckt. 
";St. Schloßbü. Mannhe;2;1;0;;18;61;;0
1225;Heideck, Carl Wilhelm von;"Heideck, Carl Wilhelm von: Die bayerische Philhellenen-Fahrt 1826--1829. Aus dem handschriftlichen Rücklaß des Herrn K. B. Generallieutnants Carl Wilhelm von Heideck. 
In: Darstellungen aus der Bayrischen Kriegs-und Heeresgeschichte,  hrsg. v. K. B. Kriegsarchiv, H. 6. München 1897, VIII+62p. 
";MS UB Z 9629;2;1;0;;48;61;;0
1226;Heidfeld, Marianne;"Heidfeld, Marianne: Reiseerinnerungen aus Ägypten, Palästina, der Türkei und Griechenland: zwei Vorträge. Danzig 1891, 58p. 
";Gen: GT 988(I, 938) ;1;1;1;;255;0;;0
1227;Heine, Maximillian;Heine, Maximillian: Bilder aus der Türkei, nach eigener Anschauung skizziert, von Maximillian Heine. St. Petersburg 1833, xiv + 233p.  ;UB Düsseldorf;2;1;0;;11;11;;0
1228;Heinzelmann, Friedrich;"Heinzelmann, Friedrich: Reisebilder und Skizzen aus Galizien,  Ungarn, dem Banat und Siebenbürgen, der europäischen Türkei, Griechenland, dem Archipel, den Ionischen Inseln und Montenegro,  Leipzig 1853
";MS: UB 46: 967-11;2;1;0;;18;90;;0
1229;Hellas-Fahrt. Eine Reisebuch. Hrsg.;"Hellas-Fahrt. Eine Reisebuch. Hrsg.: ""Hellas"" Schweizerische Vereinigung der Freunde Griechenlands, Sektion Bern. Zürich, Leipzig 1928.  ";DOK;1;1;0;;255;0;;0
1230;Heller, B. K.;"Heller, B. K.: Archäologisch-artistische Mittheilungen über die Ausgrabungen auf der Akropolis zu Athen. 1835, 1836 u. 1837, gezeichnet u. beschrieben von B. K. Heller, Nürnberg 1852. 
";BLC;1;1;0;;58;58;;0
1231;Henner, J;"Henner, J: Sketches of the medical topography of the Mediterranean comprising on account of Gibraltar, the Ionian Islands and Malta,  London 1830. 
";"";1;1;0;;255;0;;0
1232;Hepp, Alexandre;"Hepp, Alexandre: Minutes d'Orient. Propos de cour et paysages...  Paris 1895, 356p. , 14 original watercolor drawings. 
";Gen: GT 1264(I, 980);1;1;1;;18;18;;0
1233;Hervé, Francis;"Hervé, Francis: A residence in Greece and Turkey; with notes of the journey through Bulgaria, Servia, Hungary, and the Balkan. 1. Bd.  London 1837, 412p. 
";Kopie HILANG;2;1;0;;52;61;;0
1234;Hervé, Francis;"Hervé, Francis: A residence in Greece and Turkey; with notes of the journey through Bulgaria, Seria, Hungary, and the Balkan, illustrated by tinted lithograph engravings from drawings by the author. 2. Bd.  London 1837, 395p. 
";Kopie HILANG;2;1;0;;11;59;;0
1235;Hervé, Francis;"Hervé, Francis: A residence in Greece and Turkey; with notes of the journey through Bulgaria, Serbia, Hungary, and the Balkan. 2 Bde. ,  London 1837, illustrated by tinted lithographic engravings, from drawings by the author. 
";Kopie HILANG;2;1;0;;255;0;;0
1236;Hesse-Wartegg, Ernst von;"Hesse-Wartegg, Ernst von: Die Balkanstaaten und ihre Völker, Reisen,  Erinnerungen und Erlebnisse. Regensburg 1917. 
";DOK;1;1;0;;255;0;;0
1237;Hessel, Carl;"Hessel, Carl: Reiseskizzen aus Griechenland. Gymnasium Programm.  Wetzlar 1874, 26p. , 2 illustrations. 
";Fr. ;3;1;0;;35;58;;0
1238;Hettner, Hermann;"Hettner, Hermann: Griechische Reiseskizzen. Braunschweig 1853,  viii+308p. , 4 plates. 
";Stb. Trier He 80-226;2;2;0;;48;67;;0
1239;Hettner, Hermann;Hettner, Hermann: Athens and the Peloponnese with sketches of northern Greece. From the German Hermann Hettner. Edinburgh 1854,  (Constable`s Miscellany of Foreign Literature, Vol. II, 229p.. ) ;Gen: GT 1342(I, 457);1;3;1;;51;67;;0
1240;Heude, William;"Heude, William: Voyage de la côte de Malabar à Constantinople, par le Golfe Persique, l'Arabie, la Mésopotamie, le Kourdistan et la Turquie d'Asie, fait en 1817 par William Heude, lieutenant au service d' Angleterre. Avec une grande carte et des gravures. Traduit de l`anglais par le traducteur du voyage de Maxwell. Paris 1820, 356p..  Englische Ausgabe: 1819. 
";Gen: GT 1565(I, 85);1;3;0;;18;18;;0
1241;Heuzey, Leon;"Heuzey, Leon: Mission archélogique de Macédoine. 2 Bde. Paris 1876,  XIII+470p. +34 plates+11 Karten. Appendix: Monuments de la
Thessalie. 
";MS Arch. Sem. VIM6;2;1;0;;10;39;;0
1242;Heuzey, Leon;"Heuzey, Leon: Le Mont Olympe et l`Acarnanie; exploration de ces deux régions, avec l`étude de leurs antiquités, de leurs populations anciennes et modernes, de leur géographie et de leur histoire,  ouvrage accompagné de planches. Paris 1860, 495p. , 16 plates. 
";UB Freiburg;3;1;0;;23;51;;0
1243;Heuzey, Leon;"Heuzey, Leon: Excursion dans la Thessalie turque en 1858. 
In: Societe d`edition ""Les Belles-lettres"", Paris 1927, 191p. ,  frontispiece. 
";MS Sem. f. Byz. E161;2;2;0;;32;45;;0
1244;Hevesi, Ludwig;"Hevesi, Ludwig: Sonne Homers. Weitere Fahrten durch Griechenland und Sizilien 1902-1904. Stuttgart 1905. 
";O. O. K798;2;1;0;;55;61;;0
1245;Heynisch, P.;"Heynisch, P.: Reisebericht (Bericht über eine Reise nach Griechenland). Meiningen 1910. Herzögliches Gymnasium Bernhardinum zu Meiningen. Jahresbericht über das Schuljahr 1909/ 10. 
";UB BB 946-1910;2;1;0;;32;61;;0
1246;Hicks, E. L. u. Bent, J. T.;"Hicks, E. L. u. Bent, J. T.: Inscriptions from Thasos. S. Bent, James Theodore. 
";"";5;1;0;;255;0;;0
1247;Hill, S. S.;"Hill, S. S.: The Tiara and the Turban, or, Impressions and observations on character within the dominions of the Pope and the Sultan.  2 Bde. , London 1845, 
";Gen: GT 1104(I, 368);1;1;1;;18;58;;0
1248;"Hinstein, M. G. = Hinstin, Gustave
";"Hinstein, M. G. = Hinstin, Gustave
";"";5;1;0;;255;0;;0
1249;Hinstin, Gustave;"Hinstin, Gustave: Souvenirs d'Athènes. Lille 1865, 29p.. 
";Gen: GT 905(I, 634) ;1;1;1;;55;58;;0
1250;Hirkaesi, Hilarius (Pseud. );Hirkaesi, Hilarius (Pseud. ): Die schöne Cadmana und Ambrosine. Oder die wunderbare Geschichte zweyer Griechischer Frauenzimmer. Was die selbigen vor seltsame Begebenheiten von Jugend an in unterschiedene Welt-Gegenden zu Wasser und Lande, die eine auch so gar in dem Türckischen Seraglio und ansonsten ausgestanden, wie sie solche...  Hrsg. v. Hilarius Hirkaesi. Aus dem Ital. Frankfurt/ Leipzig 1751, 432p.  ;Grieb;1;3;0;;255;0;;0
1251;Hirschberg, Julius;"Hirschberg, Julius: Hellas-Fahrten. Leipzig 1910, viii+264p. 
";Stbi. Trier 6-80 240;2;1;0;;31;70;;0
1252;Hirschfeld, Gustav;"Hirschfeld, Gustav: Aus dem Orient. Berlin 1897, mit einigen Ansichtsvignetten. (= Allgemeiner Verein für Deutsche Litteratur; Abt. 23), Vi+ 382p. 
";UB Bo RSA 4287;4;1;0;;255;0;;0
1253;Hittorff, Jacob-Ignaz;Hittorff, Jacob-Ignaz: Les antiquités inédites de l`Attique. Paris 1832, xi+63p. mit vielen Plänen, Abbildungen und Zeichnungen.  ;MF HILANG MS;2;1;0;;55;61;;0
1254;Hoare, E.;"Hoare, E.: Rome, Turkey and Jerusalem. 2. Aufl. , London 1877. 
";Röhricht 3452;1;1;0;;255;0;;0
1255;Hobhouse, John Cam;"Hobhouse, John Cam: Travels in Albania and other provinces of Turkey 1809 and 1810 by the right Hon. Lord Broughton, G. C. B.. 2 Bde. , London 1855. 
";Sym. ;1;1;0;;255;0;;0
1256;Hobhouse, John Cam;"Hobhouse, John Cam: A Journey through Albania and other provinces of Turkey in Europe and Asia, to Constantinople, during the years 1809 and 1810. 2 Bde. 2. Aufl. , London 1813. xv+1152p. , map and 23 plates.  Erstaufl. ebenfalls London 1813, Neuaufl. 1855. 
";Kopie HILANG;2;1;0;;18;61;;0
1257;Hobhouse. J. C.;"Hobhouse. J. C.: Recollections of a long life. 4 Bde. London 1909-11.  ND in 6 Bänden: New York 1968. 
";E 48527 1-6       ;1;1;3;;255;0;;0
1258;Hodgetts, E. A. Brayley= Brayley Hodgetts, E. A.;"Hodgetts, E. A. Brayley= Brayley Hodgetts, E. A.: 
";"";5;1;0;;255;0;;0
1259;Höpken, Carl Fr. von, u. a.;"Höpken, Carl Fr. von, u. a.: Twänne stora Swenska herrars rese-bescrifning, ifran Cypern, til Asien, Försloswade Landet, Jerusalem och Christi graf, jämte andra märkwärdiga orter och namnkunniga ställen Jönköping 1768, 29p. , gothic letter. 
";Gen: GT 664. 2(II, 5;1;1;0;;99;99;;0
1260;Hoffmann;"Hoffmann: Decriptio Chalcidicae Thraciae s. Macedonicae. In: Gym.  Progr. Bromberg 1854, 18 S. 
";"";1;1;0;;16;29;;0
1261;Hogarth, David George;"Hogarth, David George: Scenes in Athens; Drawn and tinted by Mary Hogarth, described by David Hogarth. London New York 190?. 
";Tsigakou S. 190    ;1;1;1;;55;58;;0
1262;Hogarth, David George;"Hogarth, David George: Accidents in an antiquary`s life. London 1910,  x+176p. , with forty illustrations from photographs taken by the author and his companions. 
";Gen: GT 1835(I, 1087;1;1;0;;87;97;;0
1263;Hogarth, David George;"Hogarth, David George: A wandering scholar in the Levant. 
London 1896, ix + 206p. , 13 illustrations and map. 
";LB Stuttgart A2 1365;2;1;0;;99;99;;0
1264;Holland, Henry;"Holland, Henry: Travels in the Ionian Isles, Albania, Thessaly, Macedonia, etc. during the years 1812 and 1813. London 1815, x+551p. ,  12 plates. 
";BO Arch. Sem. ;1;2;0;;23;61;;0
1265;Holland, Henry;"Holland, Henry: Reisen durch die Ionischen Inseln, Albanien, Thessalischen, Macedonien und Griechenland in den Jahren 1812 und 1813. Aus dem Englischen. Jena 1816, viii+460p. 
";Kopie HILANG MS;2;3;0;;23;64;;0
1266;Hope, Thomas;"Hope, Thomas: Pictures from 18th Century Greece. Hrsg. v. F. -M. Tsigakou Athen 1985, 231p, 103 ill. 
";MS UB 3B2195;2;1;0;;18;81;;0
1267;Hornby, Lady;"Hornby, Lady: Constantinople during the Crimean war. London 1863,  xvi+500p. , with illustrations in chromo-lithography. 
";Gen: GT 1496(I, 615);1;1;0;;18;65;;0
1268;Hoskiaer, V.;"Hoskiaer, V.: Et besog i Graekenland, Aegypten og Tyrkiet af V.  Hoskiaer. Kjobenhavn 1879, 198p. , 5 maps. 
";Gen: GT 1157. 5(I, 7;1;1;0;;18;58;;0
1269;Hughes, T. S.;"Hughes, T. S.: An Adress to the people of Englang in the cause of the Greeks, occasioned by the late inhuman massacres in the islands of Scio... London 1822. 
";Anglomatis;1;1;0;;255;0;;0
1270;Hughes, Thomas Smart;"Hughes, Thomas Smart: Travels in Greece and Albania. 2. Aufl. 
considerable additions. 2 Bde. London 1830, 15 plates, maps and illustrations. 
";Kopie HilanG;2;1;0;;255;0;;0
1271;Hughes, Thomas Smart;"Hughes, Thomas Smart: Travels in Greece and Albania. 2. Aufl. with considerable additions. Bd. 1. London 1830, xvi+511p. 
";Kopie HILANG;2;1;0;;32;64;;0
1272;Hughes, Thomas Smart;"Hughes, Thomas Smart: Travels in Greece and Albania. 2. Aufl. with considerable additions. Bd. 2. London 1830, xii+514p. 
";Kopie HILANG;2;1;0;;19;70;;0
1273;Hughes, Thomas Smart;"Hughes, Thomas Smart: Considerations upon the Greek Revolution, ...  London 1823, iv+28p. 
";Kopie HILANG;4;1;0;;255;0;;0
1274;Hughes, Thomas Smart;"Hughes, Thomas Smart: Letter(to the editor of Times)from a Grecian traveller respecting the intended cession of Parga, by England, to the Ottoman Porte. London 1819
";Kopie HilanG;4;1;0;;255;0;;0
1275;Hughes, Thomas Smart;"Hughes, Thomas Smart: Travels in Sicily, Greece and Albania. 2 Bde.  London 1820, 2 maps, 13 plates with illustrations, illlustrated with engravings and maps, scenery, plans. 
";UB Köln           ;1;2;3;;35;64;;0
1276;Hughes, Thomas Smart;"Hughes, Thomas Smart: Voyage à Janina en Albanie, par la Sicile et la Grèce. 2 Bde. Paris 1821, frontispiece. Bookplate of Prince de
Talleyrand, traduit de l'anglais de Thomas Smart Hughes par l'auteur de londres en 1819. 
";Gen: GT 1305(I, 88);1;3;0;;255;0;;0
1277;Hughes, Thomas Smart;"Hughes, Thomas Smart: Reise durch Sicilien und Griechenland nach Janina in Albanien, deutsche Ausgabe: Jena 1821
";Irmscher, Nikopolis;1;3;0;;35;98;;0
1278;Hugonnet, Léon;"Hugonnet, Léon: La Turquie inconnue. Roumanie-Bulgarie-Macédoine--Albanie. 2. Aufl. Paris 1886, iii+308p. 
";Gen: GT 1256(I, 875);4;1;0;;255;0;;0
1279;Humphreys, W. H.;"Humphreys, W. H.: Adventures of an English Officer. In: New Monthly Magazine, o. O. 1828. 
";Klenze;1;1;0;;255;0;;0
1280;Humphreys, W. H.;"Humphreys, W. H.: Souvenirs de la Grèce. Paris 1826. 
";Klenze;1;1;0;;255;0;;0
1281;Humphreys, W. H.;"Humphreys, W. H.: Journal of a Visit to Greece. London 1826. 
";Klenze            ;1;1;1;;255;0;;0
1282;Hunt;"Hunt: Asia Minor-Journey from Parium to the Troad-Ascent to the summit of Ida-The Salt Springs of Tousla-Ruins in Assos, in:  Walpole, Robert (Hg. ): Memoirs relating to European and Asiatic Turkey, edited from manuscript Journals, London 1817, xxii+606p. 
";UB Freiburg J 5872, ;2;1;0;;27;40;;0
1283;Hunt;"Hunt: Mount Athos, from papers of Dr. Hunt, in: Walpole, Robert (Hg. ):  Memoirs relating to European and Asiatic Turkey, edited from manuscript Journals, London 1817, xxii+606p. 
";UB Freiburg J 5872, ;2;1;0;;26;29;;0
1284;Hunt, F.;Hunt, F.: An account on the monastic and the libaries of the Holy Mountain. In: Memoirs relating to European and Asiatic Turkey,  hrsg. v. manuscript journals by R. Walpole. London 1808, 198-229.  ;Anglomatis;1;1;0;;255;0;;0
1285;Husaini, Muhammed ben'Abdallah el;"Husaini, Muhammed ben'Abdallah el: Muhammed ben'Abdallah el-Husaini bereiste, Arabien, Syrien, Klein-Asien. Gotha, Arabische Handschriften,  1543 und 1544. 
";Röhricht 1268;1;3;0;;255;0;;0
1286;Ibn Battuta;"Ibn Battuta: The Travels of Ibn Battuta. A. D. 1325-1354. Translated with revisions and notes from the Arabic text ed. by C. Defrémery and B. R. Sanguinetti, by H. A. R. Gibb. Bd. 2. London 1962, xii+267p. 1 Abb 5 Pläne. 
";MS UB 3D12129;2;3;0;;18;49;;0
1287;Ibn Battuta;"Ibn Battuta: The Travels of Ibn Battuta. A. D. 1325-1354. Translated with revisions and notes from the Arabic text ed. by C. Defrémery and B. R. Sanguinetti, by H. A. R. Gibb. Bd. 1. London 1958, xvii+269p. 1 Abb 6 Pläne. 
";MS UB 3D12129;4;3;0;;255;0;;0
1288;Ibn Battuta;"Ibn Battuta: The Travels of Ibn Battuta. A. D. 1325-1354. Translated with revisions and notes from the Arabic text ed. by C. Defrémery and B. R. Sanguinetti, by H. A. R. Gibb. Bd. 3. London 1971, xi+233p. 5 Abb.  3 Pläne. 
";MS UB 3D12129;4;3;0;;255;0;;0
1289;Ibn Batuta;"Ibn Batuta: Travels in Asia and Africa, 1325-1354 hrsg. von H. A. R.  Gibb, London 1929. NA London 1983, 398p. 
";StUB Frankfurt;2;1;0;;18;52;;0
1290;Ibn Batuta, Mohammed;"Ibn Batuta, Mohammed: Voyage d'Ibn Batouta, texte arabe accompagné  d'une traduction par C. Defémery et B. R. Sanguinetti. 4 Bde. Paris 1853-1859. ND Paris 1968. 
";MS Inst. f. Alt. ;4;3;0;;255;0;;0
1291;Ibn Batuta, Mohammed;"Ibn Batuta, Mohammed: Viagens extensas e dilatadas do celebre Arabe Abu Abdalah, mais conhedico pelo nome de Ben Batuda, traduzidas por losé de Santo Antonio Moura. 2 Bde. Lissabon 1840, 1855. 
";"BLC; Röhricht";1;3;0;;255;0;;0
1292;Ibn Batuta, Mohammed;"Ibn Batuta, Mohammed: The travels of Ibn Batuta translated from the abridged Arabic manuscript copies by Sam. London 1829, xviii+243p.  ND 1968. 
";MS Sem. f. Völk. ;1;3;0;;255;0;;0
1293;Ibn Batuta, Mohammed;"Ibn Batuta, Mohammed: De Mohammede Ebn Batuda, Arabe Tingitano eiusque itineribus: commentatio academica... autor Joannes Gothofredus Ludovicus Kosegarten... Jena 1818. 
";Gen: GT 719 (II, 86);1;3;0;;255;0;;0
1294;Ibn Batuta, Mohammed;"Ibn Batuta, Mohammed: Voyages d'Ibn Batoutah dans l'Asie Mineure,  traduit de l'Arabe et accompagné de notes historique et géographique par C. Defrémery. Paris 1851. 
";Gen: GT 719 (II, 87);1;3;0;;255;0;;0
1295;Ibn Batuta;"Ibn Batuta: The travels of Ibn Batuta. A. D. 1325-1354. Translated with revisions and notes from the Arabic text, ed. by C. Defrémery and B. R Sanguinetti, by H. A. R. Gibb. 3vol. , Cambridge 1958-1971. 
";MS UB 3D12129;2;3;0;;255;0;;0
1296;Ibn Hauqal;Ibn Hauqal: Configuration de la terre (Kitab Surat al-Ard). Introduction et traduction, avec index par J. H. Kramers et G. Wiet. 2 Bde.  Paris 1964. Bd. 1: xxii+240p. 10 Karten. Bd. 2: 304p. (247-550). 13 Karten.  ;UB Bonn 66/ 771;1;3;0;;99;99;;0
1297;Ibn al-Wardi;"Ibn al-Wardi: Bericht des arabischen Geographen Ibn al-Wardi über Konstantinopel. Von F. Teschner. In: Hans Mzik(Hrsg. ): Beiträge zur historischen Geographie, Kulturgeschichte, Ethnographie und Kartographie, vornehmlich des Orients. Leipzig-Wien 1929, 84-91. 
";Kopie HILANG;2;3;0;;18;18;;0
1298;Ibrahim-Manzour;"Ibrahim-Manzour: Mémoires sur la Grèce et l'Albanie, pendant le gouvernement d'Ali-Pacha. Ouvrage pouvant servir de complément à celui de M. de Pouqueville. Paris 1827, lxxxi+415p. 
";HilanG MF P10/ 91;4;1;0;;255;0;;0
1299;Ignatius von Smolensk;"Ignatius von Smolensk: O. T. In: Itinéraires russes en Orient traduits pour la Société de l'Orient latin par Mme. B. de Khitrowo. Geneva 1889, 127-157. 
";MS UB H 3 458;2;1;0;;18;29;;0
1300;Ingigi, Luca;"Ingigi, Luca: Villegiature de' Bizantini sul Bosforo Tracio, opera del P. Luca Ingigi, tradotta (del Armeno)dal P. Cherubino Aznavor.  Venezia 1831, xxiii+330p. , 1 map and 1 engraved plate. 
";Gen: GT 1476(I, 200);1;3;1;;16;21;;0
1301;Inwood, Henry William;"Inwood, Henry William: Of the resources of Design in the architecture of Greece, Egypt and other contries. London 1834. 
";"BLC; Klenze        ";1;1;1;;255;0;;0
1302;Inwood, Henry William;"Inwood, Henry William: The Erechtheion at Athens: Fragments of  Athenian architecture and a few remains in Attica, Megara and  Epirus... London 1827. Republished: London 1972, 161p. 
";MS Arch. Sem. VI A 6;2;1;0;;55;58;;0
1303;Ippen, Theodor A.;"Ippen, Theodor A.: Skutari und nordalbanische Küstenebene. Sarajevo 1907, 83p. 
";Reddemann;2;1;0;;3;12;;0
1304;Irby, Charles Leonard and Mangles, James;Irby, Charles Leonard and Mangles, James: Travels in Egypt and Nubia,  Syria and Asia Minor, during the years 1817 and 1818. London 1823, v+ 560p. , printed for private distribution, map and illustrations.  ;MIZE 294          ;1;1;2;;18;34;;0
1305;Isaia;"Isaia: Récit de la Sainte Montagne d'Athos par le moin Isaia du couvent de Khilantari. In: Itinéraires Russes en Orient. Genéve 1889 259-264. 
";MS UB H 3 458;2;1;0;;29;29;;0
1306;"Isambart, E. = Isambert, Émile
";"Isambart, E. = Isambert, Émile
";"";5;1;0;;255;0;;0
1307;Isambert, Émile;"Isambert, Émile: Itinéraire descriptif, historique et archéologique de l'Orient. Bd. 1: Grèce et Turquie d'Europe, Paris 1881. 
";Klenze            ;1;1;2;;255;0;;0
1308;Istria Dora de;"Istria Dora de: Excursions en Roumélie et en Morée. 2 Bde. Zürich und Paris 1863. 
Bd. 2
";"";2;1;0;;58;61;;0
1309;Istria Dora de;"Istria Dora de: Excursions en Roumélie et en Morée. 2 Bde. Zürich und Paris 1863. 
Bd. 1
";"";2;1;0;;51;51;;0
1310;Istria, Dora de;"Istria, Dora de: Excursions en Roumélie et en Morée. 2 Bde. Zürich und Paris 1863, portrait frontispiece. 
";Gen: GT 1354 (I, 612;2;1;0;;255;0;;0
1311;Jacob von Verona;"Jacob von Verona: Liber peregrinationis di Jacopo da Verona, hrsg.  von U. Monneret de Villard. Rom 1950, xxxi+240p. 
";UB Bonn Z4 60/ 48;2;2;0;;99;99;;0
1312;Jacob von Verona;"Jacob von Verona: Le Pélerinage du moine Audgustin Jacques de Vérona, hrsg. von R. Röhricht. In: Revue de l'Orient latin 3, 1895, 155--302. 
";MS UB Z 1084-3;2;3;0;;99;99;;0
1313;Jahn, August M.;"Jahn, August M.: Reise von Mainz nach Aegypten, Jerusalem und
Constantinopel in den Jahren 1826-1827. Mainz 1826-1830. 
Anm.: Heft IV enthält die Reise von Jerusalem über fünf griechische Inseln nach Smyrna. 
";Röhricht 1721     ;1;1;4;;18;52;;0
1314;Janeway, Catherine;"Janeway, Catherine: Glimpses at Greece today and before yesterday.  London 1897, ix+148p. 
";Gen: GT1407(I, 1014);1;1;1;;54;61;;0
1315;Janke, A.;"Janke, A.: Reiseerinnerungen aus Italien, Griechenland, und dem Orient Mit besonderer Berücksichtigung der militärischen Verhältnisse.  Berlin 1874, xii+515p. 
";Stadt. Trier E 8, 13;2;1;0;;18;80;;0
1316;Janke, Arthur W.;"Janke, Arthur W.: Auf Alexanders d. Gr. Pfaden. Eine Reise durch Kleinasien. Berlin 1904, VIII+186p. 20 Abb. , 6 plans. 
";Inst. f. Alt. Hist4,;2;1;0;;27;33;;0
1317;Jassaud, A. de;"Jassaud, A. de: Mémoire sur l'état physique et politique des isles d' Hydra, Specie, Poro et Ipsera en Ipsera en l'anne 1808, hrsg. v. C. Svolopoulos. Athen 1978. 
";"NN; Anglomatis";1;1;0;;255;0;;0
1318;Jaubert, Amédée;"Jaubert, Amédée: Voyage en Arménie et en Perse, fait dans les années 1805 et 1806. Accompagné d'une carte des pays compris entre  Constantinople et Téhéran, dressée par le chef d'escadron Lapie,  suivi d'une notice sur le Ghilan et le Mazenderan, par le Colonel Tretzel; et orné de planches lithographiées... 
Paris 1821, xii+506p. , 9 plates. 
";Gen: GT 1548 (I, 102;2;2;0;;98;98;;0
1319;Jaubert, Amédée;"Jaubert, Amédée: Reise durch Armenien und Persien im Jahre 1805 und 1806. Von Amadeus Jaubert. Aus dem Franz. von G. W. Becker. Leipzig 1822,  XII+307p. 
";MS UB 47: 3185;2;3;0;;98;98;;0
1320;Jebb, R. C.;"Jebb, R. C.: Modern Greece. Two Lectures delivered before the Philosophical Institution of Edinburgh. London 1880, vii+183p. 
";UB Erlangen;4;1;0;;255;0;;0
1321;Jehannot, Guillaume;"Jehannot, Guillaume: Voyage de Constantinople pour le rachat des captifs par le R. P. Jehannot... de l'ordre de la Sainte Trinité. Paris 1732, vi+401p. index and folding map. 
";"BLC; GT 794 (II, 5  ";1;1;2;;18;18;;0
